timestamp,bin_id,municipality_id,zone_id,ward_id,distance_cm,fill_pct,is_simulated
2026-07-13T08:47:08.124306+00:00,SB-ML-089F5B,2,4,7,100.9,15.92,1
2026-07-13T09:17:08.124306+00:00,SB-ML-089F5B,2,4,7,99.88,16.77,1
2026-07-13T09:47:08.124306+00:00,SB-ML-089F5B,2,4,7,98.3,18.08,1
2026-07-13T10:17:08.124306+00:00,SB-ML-089F5B,2,4,7,96.58,19.51,1
2026-07-13T10:47:08.124306+00:00,SB-ML-089F5B,2,4,7,94.64,21.13,1
2026-07-13T11:17:08.124306+00:00,SB-ML-089F5B,2,4,7,92.44,22.97,1
2026-07-13T11:47:08.124306+00:00,SB-ML-089F5B,2,4,7,91.35,23.87,1
2026-07-13T12:17:08.124306+00:00,SB-ML-089F5B,2,4,7,88.96,25.87,1
2026-07-13T12:47:08.124306+00:00,SB-ML-089F5B,2,4,7,87.27,27.27,1
2026-07-13T13:17:08.124306+00:00,SB-ML-089F5B,2,4,7,85.43,28.81,1
2026-07-13T13:47:08.124306+00:00,SB-ML-089F5B,2,4,7,83.58,30.35,1
2026-07-13T14:17:08.124306+00:00,SB-ML-089F5B,2,4,7,81.09,32.43,1
2026-07-13T14:47:08.124306+00:00,SB-ML-089F5B,2,4,7,78.65,34.46,1
2026-07-13T15:17:08.124306+00:00,SB-ML-089F5B,2,4,7,76.93,35.89,1
2026-07-13T15:47:08.124306+00:00,SB-ML-089F5B,2,4,7,74.52,37.9,1
2026-07-13T16:17:08.124306+00:00,SB-ML-089F5B,2,4,7,72.56,39.53,1
2026-07-13T16:47:08.124306+00:00,SB-ML-089F5B,2,4,7,70.11,41.57,1
2026-07-13T17:17:08.124306+00:00,SB-ML-089F5B,2,4,7,68.18,43.19,1
2026-07-13T17:47:08.124306+00:00,SB-ML-089F5B,2,4,7,66.54,44.55,1
2026-07-13T18:17:08.124306+00:00,SB-ML-089F5B,2,4,7,65.9,45.08,1
2026-07-13T18:47:08.124306+00:00,SB-ML-089F5B,2,4,7,65.03,45.8,1
2026-07-13T19:17:08.124306+00:00,SB-ML-089F5B,2,4,7,63.54,47.05,1
2026-07-13T19:47:08.124306+00:00,SB-ML-089F5B,2,4,7,62.88,47.6,1
2026-07-13T20:17:08.124306+00:00,SB-ML-089F5B,2,4,7,61.49,48.76,1
2026-07-13T20:47:08.124306+00:00,SB-ML-089F5B,2,4,7,60.76,49.37,1
2026-07-13T21:17:08.124306+00:00,SB-ML-089F5B,2,4,7,59.75,50.21,1
2026-07-13T21:47:08.124306+00:00,SB-ML-089F5B,2,4,7,58.74,51.05,1
2026-07-13T22:17:08.124306+00:00,SB-ML-089F5B,2,4,7,59.11,50.74,1
2026-07-13T22:47:08.124306+00:00,SB-ML-089F5B,2,4,7,58.65,51.13,1
